sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKExternalUUID,HKWeatherTemperature,HKTimeZone,HKWeatherHumidity,HKElevationAscended,HKIndoorWorkout,HKAverageMETs
HKWorkoutTypeIdentifier,Runkeeper,872,"iPhone8,1",,2016-10-31 13:33:43 +0000,2016-10-31 13:56:55 +0000,Running,1391.999,sec,398.869 kcal,4094.97 m,,,FB45AAB9-44B4-41F4-868C-60F02EF72142,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,994,"iPhone8,1",,2016-11-06 23:31:06 +0000,2016-11-06 23:39:52 +0000,Running,525.9999980330467,sec,141.251 kcal,1476.58 m,,,8439B803-8837-489D-AC3F-9BD8162663BA,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,994,"iPhone8,1",,2016-11-07 14:26:55 +0000,2016-11-07 14:48:32 +0000,Running,1296.999997973442,sec,406.423 kcal,4119.85 m,,,B91FBEFA-89AE-405C-8084-2A78CD00785F,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,997,"iPhone8,1",,2016-11-15 14:31:47 +0000,2016-11-15 14:53:02 +0000,Running,1274.9999969601631,sec,384.71 kcal,3899.32 m,,,41CC448C-E1BE-4F70-81F9-7AD16BAD25A9,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2016-12-30 23:49:52 +0000,2016-12-31 00:19:42 +0000,Running,1789.9999970197678,sec,493.306 kcal,5096.9 m,,,3F360959-C8D7-4734-9B49-8FEDE9C0686F,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-02 01:21:22 +0000,2017-01-02 01:50:26 +0000,Running,1743.999998986721,sec,527.139 kcal,5350.66 m,,,CEF8DB2C-8351-4C94-A070-D5D87F2DBF9F,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-04 01:39:31 +0000,2017-01-04 02:07:04 +0000,Running,1652.999997973442,sec,478.362 kcal,4869.52 m,,,0C97BAD0-5BB4-4EE1-9B39-3D97A6F11178,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-04 22:25:18 +0000,2017-01-04 23:00:41 +0000,Running,2122.9999970197678,sec,615.688 kcal,6304.03 m,,,96FE0BEC-99B9-49CB-A535-0F2F1CC34899,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-08 19:38:36 +0000,2017-01-08 19:57:46 +0000,Running,1149.9999970197678,sec,393.276 kcal,4005.43 m,,,73381B28-2137-4F3D-A213-92773A9C70C1,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-10 01:42:22 +0000,2017-01-10 02:09:26 +0000,Running,1623.9999970197678,sec,531.046 kcal,5386.74 m,,,5AFCD134-0F67-42A1-ACD3-249E6116DCD9,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-12 01:32:37 +0000,2017-01-12 01:59:41 +0000,Running,1623.999997973442,sec,526.405 kcal,5326.04 m,,,5B5B0FBF-43DD-4DAA-A2F1-2D9F3C43EC4C,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1140,"iPhone8,1",,2017-01-14 21:35:22 +0000,2017-01-14 21:59:41 +0000,Running,1458.9999700188637,sec,513.502 kcal,5199.22 m,,,DD90166B-0C6A-4953-AAC0-3A4609080042,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1195,"iPhone8,1",,2017-01-29 20:55:30 +0000,2017-01-29 21:12:31 +0000,Running,1020.999,sec,343.843 kcal,3501.49 m,,,1ACFC66D-0341-48E6-B13C-0483A480C8BB,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1195,"iPhone8,1",,2017-01-31 01:48:32 +0000,2017-01-31 02:12:58 +0000,Running,1465.9999969601631,sec,498.616 kcal,5059.75 m,,,A131FFB8-7636-4037-AAF2-35FBB245B113,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1195,"iPhone8,1",,2017-02-05 21:26:08 +0000,2017-02-05 21:57:01 +0000,Running,1852.9999949932098,sec,626.666 kcal,6360.57 m,,,63EF069E-B833-4806-9035-798B32A8CF36,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1270,"iPhone8,1",,2017-02-20 22:03:45 +0000,2017-02-20 22:24:05 +0000,Running,1219.998,sec,419.905 kcal,4261.15 m,,,85C69C68-7A3A-49B4-AB71-16291F9D2468,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1349,"iPhone8,1",,2017-03-12 15:52:16 +0000,2017-03-12 16:17:09 +0000,Running,1492.9999970197678,sec,442.058 kcal,4516.42 m,,,C946C2EC-B204-47EB-9106-5F87121348E4,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1359,"iPhone8,1",,2017-03-19 15:34:01 +0000,2017-03-19 16:00:28 +0000,Running,1586.9999969601631,sec,501.272 kcal,5088.71 m,,,1B2B977E-991B-4EC6-8831-8F00C7F23783,,,,,,
